name,pst,prs,ftr,byd
Arghena,0.0,0.0,11.3,
Grievous Lady,6.5,9.3,11.3,
Fracture Ray,6.0,9.5,11.3,
Aegleseeker,5.5,9.1,11.1,
Abstruse Dilemma,5.0,8.4,11.1,
SAIKYO STRONGER,5.5,9.4,11.0,
Distorted Fate,,,,10.9
TeraVolt,0.0,0.0,10.9,
LAMIA,5.0,8.3,10.9,
Dantalion,5.0,8.2,10.9,
BUCHiGiRE Berserker,5.0,8.6,10.9,
TEmPTaTiON,5.0,8.2,10.9,
Misdeed -la bonté de Dieu et l origine du mal-,5.5,8.5,10.9,
CHAOS,5.5,7.5,10.9,
#1f1e33,5.5,9.2,10.9,
Ringed Genesis,5.5,8.4,10.8,
Desive,,,10.8,
Meta-Mysteria,0.0,0.0,10.8,
Testify,7.0,9.4,10.8,12.0
ω4,3.5,7.5,10.8,
Black MInd,,,10.8,
Spider s Thread,4.5,7.5,10.8,
Divine Light of Myriad,4.5,7.5,10.8,
͟͝͞Ⅱ́̕,5.0,8.4,10.8,
World Vanquisher,2.5,5.5,10.8,
AMAZING MIGHTYYYY!!!!,4.5,7.5,10.7,
Halcyon,5.5,8.2,10.7,
Tempestissimo,6.5,9.5,10.7,11.5
ouroboros -twin stroke of the end-,4.5,7.0,10.7,
Stasis,4.5,7.0,10.7,
REKKA RESONANCE,5.0,8.3,10.7,
狂恋ROMANCE,,,10.7,
GENOCIDER,4.5,8.5,10.7,
PRIMITIVE LIGHTS,5.5,8.5,10.7,
Cyaegha,5.5,8.4,10.7,
Singularity,4.5,7.5,10.7,10.4
Axium Crisis,5.5,8.5,10.7,
UNKNOWN LEVELS,4.0,7.0,10.6,
Qovat,,,10.6,
Overwhelm,5.0,8.5,10.6,
NULL APOPHENIA,4.5,7.5,10.6,
corps-sans-organes,4.5,7.5,10.6,
Seclusion,4.0,7.0,10.6,
AttraqtiA,4.0,7.5,10.6,
Sheriruth (Laur Remix),4.0,7.5,10.6,
Manic Jeer,4.0,7.5,10.6,
cyanine,4.0,7.5,10.6,
GLORY：ROAD,4.5,7.0,10.6,
Live Fast Die Young,4.5,8.1,10.6,
ALTER EGO,,,10.5,11.2
Aurgelmir,4.5,7.5,10.5,
eden,0.0,0.0,10.5,
Good bye Merry-Go-Round,4.5,7.5,10.5,
Arcana Eden,5.5,8.7,10.5,11.4
Lightning Screw,4.5,7.5,10.5,
To the Milky Way,5.0,8.7,10.5,
Last Celebration,3.5,6.5,10.5,
Ego Eimi,0.0,0.0,10.5,
Climax,4.5,7.5,10.4,
Tiferet,4.5,7.5,10.4,
Lucid Traveler,4.5,8.3,10.4,
Garakuta Doll Play,4.5,6.5,10.4,
Kissing Lucifer,4.5,7.5,10.4,
Valhalla:0,4.5,7.0,10.4,
Felis,4.0,7.5,10.4,
[X],4.5,7.5,10.4,
γuarδina,4.0,7.5,10.4,
Chronicle,5.0,8.5,10.4,
PUPA,4.0,7.5,10.4,
Crimson Throne,4.0,8.0,10.4,
Rise of the World,4.0,7.0,10.4,
Ikazuchi,3.5,7.5,10.4,
GIMME DA BLOOD,3.5,7.0,10.4,
Judgement,,,10.4,
Hiiro Gekka Kyoushou no Zetsu (nayuta 2017 ver.),3.5,6.5,10.3,
Viyella s Tears,4.0,7.0,10.3,
Ether Strike,5.5,8.3,10.3,
Pentiment,6.0,8.4,10.3,11.4
IZANA,5.0,8.3,10.3,
To: Alice Liddell,4.0,7.0,10.3,
99 Glooms,4.0,7.5,10.3,
Nirv lucE,2.5,7.0,10.3,
Metallic Punisher,3.0,7.0,10.3,
Magnolia,4.5,7.5,10.2,
NEO WINGS,4.0,7.5,10.2,
Redolent Shape,4.5,7.5,10.2,
Medusa,4.5,7.0,10.2,
conflict,4.5,7.5,10.2,
Capella,4.5,7.5,10.2,
αterlβus,4.0,7.0,10.2,
G e n g a o z o,4.0,7.5,10.2,
Malicious Mischance,4.0,7.5,10.2,
Löschen,3.5,7.0,10.2,
Sheriruth,5.5,7.5,10.1,
Trrricksters!!,4.5,7.5,10.1,
PRAGMATISM,4.5,8.6,10.1,11.0
Scarlet Lance,4.0,7.0,10.1,
Logos,0.0,0.0,10.1,
Mirzam,4.0,7.0,10.0,
Xanatos,4.0,7.5,10.0,
Modelista,3.5,7.5,10.0,
Bamboo,3.0,6.5,10.0,
Free Myself,4.5,7.5,10.0,
trappola bewitching,3.0,6.0,10.0,10.5
Alexandrite,4.5,7.0,10.0,
Oshama Scramble!,3.5,6.5,10.0,
Vicious Heroism,4.0,7.5,10.0,11.1
HIVEMIND,4.0,7.5,10.0,
Chromafill,,,10.0,
World Ender,4.0,7.5,9.9,11.2
Infinite Strife,4.0,7.5,9.9,10.9
Heavensdoor,4.5,7.5,9.9,10.8
Einherjar Joker,,,9.8,10.9
IMPACT,3.5,7.5,9.6,10.4
OMAKENO Stroke,3.0,6.5,9.5,10.2
Party Vinyl,4.0,7.5,9.4,10.1
Red and Blue,4.0,7.5,9.4,10.0
lastendconductor,3.5,7.0,9.4,10.1
dropdead,1.5,9.5,9.1,10.5
Quon,2.5,5.5,8.7,10.2
Bookmaker (2D Version),4.5,6.5,8.3,10.0
